Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UCBMultiArmedBandit,UCBLinearBandit,TSMultiArmedBandit,TSLinearBandit,PHEMultiArmedBandit,PHELinearBandit
0,0.44321642876513767,0.40535264236751595,0.4079596326811631,0.4079596326811631,0.35745241147538254,0.3501078241529228,0.4079596326811631,0.4079596326811631
1,0.7267414528878853,0.7948987609878091,0.769403114073615,0.7180375003981256,0.6509094925823877,0.8298092837368829,0.769403114073615,0.7180375003981256
2,1.1080407005832211,1.1554899061272494,1.2099665960136543,1.0432783944549993,0.9612172455793637,1.1737053354835465,1.2099665960136543,1.0432783944549993
3,1.474661239469953,1.5310313215705065,1.5737423098237415,1.2527769086983018,1.3981403991370822,1.393396195430801,1.5737423098237415,1.2527769086983018
4,1.7428539580771356,1.8814773092491026,1.804901326444961,1.3893754868637354,1.7554895748884962,1.7535036421312333,1.804901326444961,1.3893754868637354
5,2.104464092897534,2.203119188917142,2.223324272210098,1.5952712717694806,2.0295138587336985,2.186378069160214,2.223324272210098,1.5952712717694806
6,2.374587409862641,2.5258090681028214,2.716918979966781,1.8587725494702254,2.391914865702919,2.587287049619727,2.716918979966781,1.8587725494702254
7,2.5395170921325763,2.846283213384784,3.220949671805669,2.0548814473768533,2.6882709217719376,3.065611721152232,3.220949671805669,2.0548814473768533
8,2.757383007748035,3.1270968124439515,3.4893861081721473,2.1515826314850997,3.0890632562796525,3.3750986672055503,3.4893861081721473,2.1515826314850997
9,3.062662257903906,3.393338763841842,3.8192442798037503,2.269799613223662,3.447799691445199,3.8148815383195993,3.8192442798037503,2.269799613223662
10,3.2355626506667514,3.7108641502708415,4.081690840986316,2.3704543505799363,3.7080653808412407,4.165152519714641,4.081690840986316,2.3704543505799363
11,3.5712927166677098,3.911889980052608,4.41870086333185,2.49243653504497,4.084500630402192,4.505533861172641,4.41870086333185,2.49243653504497
12,3.79563406525144,4.185306741201208,4.799735733032825,2.5887781993194947,4.475141439682777,4.9002415607372205,4.799735733032825,2.5887781993194947
13,3.9665559972012914,4.436244748412049,5.162236775431585,2.708918592661837,4.804868987400186,5.26082040120998,5.162236775431585,2.708918592661837
14,4.209548608251136,4.640465589316155,5.590948673754647,2.8868892476555756,5.022915800881761,5.634063129020402,5.590948673754647,2.8868892476555756
15,4.3741622499910795,4.741017543790383,6.030409045254278,3.0069481451999844,5.33363905173678,5.998442388102555,6.030409045254278,3.0069481451999844
16,4.63279199015984,5.069887888512247,6.473712812550073,3.1647550873755117,5.771343946141827,6.3987268441396115,6.473712812550073,3.1647550873755117
17,4.760108559921239,5.211249186282456,6.80955322734067,3.280394188217359,6.09178159124991,6.775517100827647,6.80955322734067,3.280394188217359
18,4.983779501801588,5.333158991471346,7.123553175773563,3.379119552577495,6.385702093605843,7.156909717688284,7.123553175773563,3.379119552577495
19,5.170675974192339,5.450833371860524,7.418816481192818,3.4986605916035876,6.675278078250015,7.482551661247025,7.418816481192818,3.4986605916035876
20,5.281750467691315,5.724632050717423,7.771323063724248,3.587180990375122,7.051806754823128,7.802930434415859,7.771323063724248,3.587180990375122
21,5.485041952369251,5.841825548396157,8.1390555406058,3.7553868193381965,7.450564107108415,8.027891207134964,8.1390555406058,3.7553868193381965
22,5.7079343332704,6.122570816185061,8.487354015831645,3.8694036896359103,8.056927188308473,8.482905820139877,8.487354015831645,3.8694036896359103
23,5.89331213893845,6.351358806202493,8.832799411002659,3.9526242123500976,8.456799535156515,8.744970772591998,8.832799411002659,3.9526242123500976
24,6.049090097556732,6.51220424895155,9.13444129957837,4.099642194474393,8.779026122888704,8.908610362066536,9.13444129957837,4.099642194474393
25,6.167825776243547,6.708436057087809,9.23754610243871,4.240523166782131,9.13999206009458,9.23569878045183,9.615335825624204,4.240523166782131
26,6.288762376147302,6.891838607724793,9.352278137624348,4.419253655970561,9.449440051763835,9.45746205423279,10.057535966595623,4.419253655970561
27,6.518022812131744,7.0966239504689765,9.482125206306652,4.563969993542864,9.717458699844554,9.744896184349738,10.306544670585946,4.563969993542864
28,6.761795697912855,7.282179576561893,9.647568479790204,4.626560622564283,10.021570468421888,9.935763121158395,10.591578864431124,4.626560622564283
29,6.9352293120255215,7.541192627838633,9.80238363464981,4.681767176311807,10.349196114459822,10.160016054263327,10.833013754155711,4.681767176311807
30,7.068572519168046,7.675410784201619,9.9937998674512,4.708467039338035,10.771098959597099,10.262092530501253,11.19851817587512,4.708467039338035
31,7.2194759234242865,7.80081765258865,10.225846403505697,4.735166902364263,11.10071950726103,10.435161763304189,11.425720326373735,4.735166902364263
32,7.40666618819437,8.049355846564664,10.450481346275344,4.761866765390491,11.4549972620508,10.601439740399934,11.62448638116489,4.761866765390491
33,7.610695920941668,8.16085743789064,10.714663579698456,4.811870744533433,11.748119054655934,10.842689427321888,11.97782549136019,4.811870744533433
34,7.7352204134117475,8.428351463409722,11.041863932378327,4.896860780493736,12.146102110690679,11.094872022992522,12.20296776532957,4.896860780493736
35,7.9331120363153556,8.517221601772873,11.348210245515807,5.004626866219734,12.478557404184787,11.21643554759542,12.571334701335914,5.004626866219734
36,8.120890484837435,8.675630295365666,11.721237228212043,5.102164574488052,12.937285312720658,11.389218505256228,12.804625533849158,5.102164574488052
37,8.216508469472654,8.88810446515903,12.068276116351127,5.146006604222412,13.427771184822367,11.682714185107049,13.160876293191368,5.146006604222412
38,8.334732136652182,9.044610307281165,12.47518081459116,5.165005997423809,13.731633565756681,12.01014589580008,13.41657127123417,5.165005997423809
39,8.442117681941019,9.139268125401948,12.860203164917829,5.184005390625205,14.16166780098408,12.20807435610811,13.737049181964148,5.184005390625205
40,8.615067783837764,9.286002796246141,13.347735221179203,5.2185853900462345,14.504979519234897,12.464360018748343,13.96062125811209,5.2185853900462345
41,8.816008796057437,9.407950972764322,13.774487543549313,5.241061131316676,14.881889350810875,12.710911321233443,14.272929940696159,5.241061131316676
42,8.980136264799325,9.52871430498615,14.247695178178597,5.318858066133784,15.286223194328297,12.849151590564272,14.587339549536896,5.318858066133784
43,9.162643303819637,9.596043992431659,14.704836546043063,5.452605342960274,15.645232449358634,13.160678210311843,14.846435694878952,5.452605342960274
44,9.324438193791176,9.750230603715801,15.193717656520121,5.467549589430833,16.02482191533866,13.336461470142321,15.042158267198776,5.467549589430833
45,9.397016425226607,9.781215456230127,15.699451506543335,5.4945200268214585,16.367741212082766,13.659011686068814,15.32992306351863,5.4945200268214585
46,9.626699038758717,9.942730940680319,16.255117912305135,5.526602245485493,16.709978196216714,13.889236950755256,15.742931997261888,5.526602245485493
47,9.80908660954128,10.033769527170683,16.900241097738295,5.529020041544391,17.04128068498845,14.131008528988284,16.182478486430206,5.529020041544391
48,9.950553723309666,10.142409820111924,17.540580160272565,5.53143783760329,17.296211090965613,14.32959743909519,16.394610998473354,5.53143783760329
49,10.02178310584789,10.28340874489673,17.84106498023317,5.5338556336621885,17.57465512307132,14.469131156219678,16.707584965537457,5.5338556336621885
50,10.11471873788665,10.383222268971114,17.97372839619807,5.541279011054985,17.96569483000022,14.684328330460243,16.972593415208166,5.541279011054985
51,10.253034200566894,10.47816376599162,18.312497595146517,5.548702388447781,18.35021078621258,14.862683399094967,17.377613716726643,5.548702388447781
52,10.373163977455913,10.643776247779853,18.544220999369976,5.55112018450668,18.725093455714966,15.053814823490658,17.599200624599497,5.55112018450668
53,10.592014769992637,10.766438634137806,18.714111373192555,5.5535379805655785,19.124469062967222,15.278774741313722,17.961515677659122,5.5535379805655785
54,10.813857073182431,10.808023947383395,18.868424204687578,5.555955776624478,19.420081030519544,15.416914699335994,18.28140952624161,5.555955776624478
55,11.062661931149846,10.905328077379142,19.072805219866844,5.567020620926177,19.81737230505413,15.63311645925342,18.61572001783432,5.567020620926177
56,11.179197573955424,11.006345969528574,19.302522410547404,5.578085465227878,20.23133444825775,15.792980892362957,18.851339950220147,5.578085465227878
57,11.251775805390855,11.087110963371913,19.503584338511438,5.59397035672274,20.603836145885364,15.937426400591741,19.139720990361326,5.59397035672274
58,11.380128450058761,11.263373519682997,19.791883061159744,5.638641957561364,20.858017293716205,16.07137528477784,19.361914806010528,5.638641957561364
59,11.632649401229823,11.338420925379534,20.080598923523375,5.688842316796488,21.05691194106921,16.30794546178461,19.64398651946774,5.688842316796488
60,11.778450347236678,11.457266107871622,20.35763805218287,5.746588844649375,21.406387355329677,16.398261307616348,19.997759730202482,5.746588844649375
61,11.895061135180656,11.49027443107134,20.659962446850948,5.785029803339215,21.783691648580664,16.713847002292297,20.342726259290572,5.785029803339215
62,12.072473030966814,11.56475252745366,20.90348321635195,5.8538038264249765,22.016028749247916,16.863768005591574,20.58793975236311,5.8538038264249765
63,12.21719289589277,11.787703765256808,21.21232466738108,5.888356530591354,22.40794660189004,16.961944009119623,20.836779512984254,5.888356530591354
64,12.39552042142534,11.854589200164892,21.555479576932417,5.9313328773955245,22.688114206352676,17.139783052252096,21.131787551412422,5.9313328773955245
65,12.561041079609065,12.100325230359436,21.891552913529402,5.985816209443279,23.05866712499115,17.26629780667846,21.370474199548706,5.985816209443279
66,12.704296840741334,12.194709626124691,22.288005504271947,5.991154409648895,23.331347970281957,17.460561831701924,21.76931996583093,5.991154409648895
67,13.014465802757732,12.260182423767036,22.500493255220423,5.996492609854512,23.777975507834075,17.644203884656353,22.081110633699893,5.996492609854512
68,13.2228611825179,12.479624869244583,22.865740105026234,6.001830810060127,24.218578729222337,17.85439651957651,22.321440324568307,6.001830810060127
69,13.443779739351694,12.609159170271596,23.150445311650497,6.007169010265743,24.556651188738318,18.021050915420535,22.508655146776185,6.007169010265743
70,13.603673541535409,12.805540106185202,23.5298209323121,6.01250721047136,24.918159742251294,18.195465873843794,22.88029359228793,6.01250721047136
71,13.755587594332477,12.876969966984493,23.848479063031704,6.017845410676975,25.358290605138762,18.415619743969405,23.225357673241078,6.017845410676975
72,13.890637301084704,12.982462864028259,24.176129313793957,6.023183610882592,25.667253760542003,18.565089264355663,23.48188748089232,6.023183610882592
73,14.070449078444431,13.062180195603707,24.43601649392287,6.028521811088208,26.015605196687495,18.741206213071045,23.764354068806686,6.028521811088208
74,14.220348109460698,13.148978512689073,24.791463878930323,6.033860011293823,26.37525805727925,18.838895038988113,24.020967784704215,6.033860011293823
75,14.321297142708332,13.245241951147232,25.133332236143147,6.03919821149944,26.673107570420985,18.97798019378084,24.463501776670316,6.03919821149944
76,14.405813644080917,13.382599861890423,25.4205028290989,6.041170326119853,27.01562411660698,19.128231364158754,24.77976441351133,6.041170326119853
77,14.570947184068094,13.640937777466345,25.83265860703484,6.104324026789518,27.354840849370596,19.36343023363352,25.02082987116942,6.104324026789518
78,14.72989881626864,13.843319945106398,26.095913158734362,6.131964768655157,27.757374195333504,19.452428987585492,25.314475955441903,6.131964768655157
79,14.871471691833062,14.038933622447596,26.311489602060313,6.16808965475456,28.05663197552647,19.59753949680194,25.635104640160677,6.16808965475456
80,14.97109735820817,14.14499250108596,26.61134512162705,6.169949643979633,28.342646568345657,19.792021500013895,26.015604794742057,6.169949643979633
81,15.131762714825465,14.171939191632209,26.860023715414126,6.1713449194172085,28.725542367626836,19.9098863713434,26.30014418912258,6.1713449194172085
82,15.219629549505834,14.299590559153524,27.246467735011986,6.172740194854784,28.997989621625813,20.14824442012337,26.641577586053256,6.172740194854784
83,15.313545820971026,14.425132796527496,27.491749141570587,6.219415774594504,29.34136594178304,20.261010334118264,26.904175169669134,6.219415774594504
