Time(Iteration),PHELinearBanditTheta
0,1.0
1,1.0607917577021755
2,1.0648480865027514
3,1.126801044977753
4,1.3256887162434423
5,1.4743514209830275
6,1.6445715792722957
7,1.8504410992647067
8,2.016700788530277
9,2.253582576863738
10,2.47768803000068
11,2.7212209765708164
12,2.886080349942083
13,3.110681424357278
14,3.324191013865671
15,3.6071348930765827
16,3.947048231586185
17,4.072517224144617
18,4.368901802134563
19,4.619706614067406
20,4.848102448210318
21,5.116971886757372
22,5.347481567522854
23,5.441794358678325
24,5.684577782002981
